ime,datum_rojstva,leto_rojstva,država_rojstva,dan_smrti,leto_smrti,država_smrti,področje_nagrade,leto_nagrade
Jacobus Henricus van't Hoff,30 August,1852,the Netherlands,1 March,1911,Germany,Chemistry,1901
Hermann Emil Fischer,9 October,1852,Germany,15 July,1919,Germany,Chemistry,1902
Svante August Arrhenius,19 February,1859,Sweden,2 October,1927,Sweden,Chemistry,1903
Sir William Ramsay,2 October,1852,Scotland,23 July,1916,United Kingdom,Chemistry,1904
Johann Friedrich Wilhelm Adolf von Baeyer,31 October,1835,Germany,20 August,1917,Germany,Chemistry,1905
Henri Moissan,28 September,1852,France,20 February,1907,France,Chemistry,1906
Eduard Buchner,20 May,1860,Germany,13 August,1917,Romania,Chemistry,1907
Ernest Rutherford,30 August,1871,New Zealand,19 October,1937,United Kingdom,Chemistry,1908
Wilhelm Ostwald,2 September,1853,Latvia,4 April,1932,Germany,Chemistry,1909
Otto Wallach,27 March,1847,Russia,26 February,1931,Germany,Chemistry,1910
"Marie Curie, née Skłodowska",7 November,1867,Poland,4 July,1934,France,Chemistry,1911
Victor Grignard,6 May,1871,France,13 December,1935,France,Chemistry,1912
Paul Sabatier,5 November,1854,France,14 August,1941,France,Chemistry,1912
Alfred Werner,12 December,1866,France,15 November,1919,Switzerland,Chemistry,1913
Theodore William Richards,31 January,1868,USA,2 April,1928,USA,Chemistry,1914
Richard Martin Willstätter,13 August,1872,Germany,3 August,1942,Switzerland,Chemistry,1915
Fritz Haber,9 December,1868,Poland,29 January,1934,Switzerland,Chemistry,1918
Walther Hermann Nernst,25 June,1864,Poland,18 November,1941,Poland,Chemistry,1920
Frederick Soddy,2 September,1877,United Kingdom,22 September,1956,United Kingdom,Chemistry,1921
Francis William Aston,1 September,1877,United Kingdom,20 November,1945,United Kingdom,Chemistry,1922
Fritz Pregl,3 September,1869,Slovenia,13 December,1930,Austria,Chemistry,1923
Richard Adolf Zsigmondy,1 April,1865,Austria,24 September,1929,Germany,Chemistry,1925
The (Theodor) Svedberg,30 August,1884,Sweden,25 February,1971,Sweden,Chemistry,1926
Heinrich Otto Wieland,4 June,1877,Germany,5 August,1957,Germany,Chemistry,1927
Adolf Otto Reinhold Windaus,25 December,1876,Germany,9 June,1959,Germany,Chemistry,1928
Hans Karl August Simon von Euler-Chelpin,15 February,1873,Germany,6 November,1964,Sweden,Chemistry,1929
Arthur Harden,12 October,1865,United Kingdom,17 June,1940,United Kingdom,Chemistry,1929
Hans Fischer,27 July,1881,Germany,31 March,1945,Germany,Chemistry,1930
Friedrich Bergius,11 October,1884,Poland,30 March,1949,Argentina,Chemistry,1931
Carl Bosch,27 August,1874,Germany,26 April,1940,Germany,Chemistry,1931
Irving Langmuir,31 January,1881,USA,16 August,1957,USA,Chemistry,1932
Harold Clayton Urey,29 April,1893,USA,5 January,1981,USA,Chemistry,1934
Irène Joliot-Curie,12 September,1897,France,17 March,1956,France,Chemistry,1935
Frédéric Joliot,19 March,1900,France,14 August,1958,France,Chemistry,1935
Petrus (Peter) Josephus Wilhelmus Debye,24 March,1884,the Netherlands,2 November,1966,USA,Chemistry,1936
Walter Norman Haworth,19 March,1883,United Kingdom,19 March,1950,United Kingdom,Chemistry,1937
Paul Karrer,21 April,1889,Russia,18 June,1971,Switzerland,Chemistry,1937
Richard Kuhn,3 December,1900,Austria,31 July,1967,Germany,Chemistry,1938
Adolf Friedrich Johann Butenandt,24 March,1903,Germany,18 January,1995,Germany,Chemistry,1939
Leopold Ruzicka,13 September,1887,Croatia,26 September,1976,Switzerland,Chemistry,1939
George de Hevesy,1 August,1885,Hungary,5 July,1966,Germany,Chemistry,1943
Otto Hahn,8 March,1879,Germany,28 July,1968,Germany,Chemistry,1944
Artturi Ilmari Virtanen,15 January,1895,Finland,11 November,1973,Finland,Chemistry,1945
John Howard Northrop,5 July,1891,USA,27 May,1987,USA,Chemistry,1946
Wendell Meredith Stanley,16 August,1904,USA,15 June,1971,Spain,Chemistry,1946
James Batcheller Sumner,19 November,1887,USA,12 August,1955,USA,Chemistry,1946
Sir Robert Robinson,13 September,1886,United Kingdom,8 February,1975,United Kingdom,Chemistry,1947
Arne Wilhelm Kaurin Tiselius,10 August,1902,Sweden,29 October,1971,Sweden,Chemistry,1948
William Francis Giauque,12 May,1895,Canada,28 March,1982,USA,Chemistry,1949
Kurt Alder,10 July,1902,Poland,20 June,1958,Germany,Chemistry,1950
Otto Paul Hermann Diels,23 January,1876,Germany,7 March,1954,Germany,Chemistry,1950
Edwin Mattison McMillan,18 September,1907,USA,7 September,1991,USA,Chemistry,1951
Glenn Theodore Seaborg,19 April,1912,USA,25 February,1999,USA,Chemistry,1951
Archer John Porter Martin,1 March,1910,United Kingdom,28 July,2002,United Kingdom,Chemistry,1952
Richard Laurence Millington Synge,28 October,1914,United Kingdom,18 August,1994,United Kingdom,Chemistry,1952
Hermann Staudinger,23 March,1881,Germany,8 September,1965,Germany,Chemistry,1953
Linus Carl Pauling,28 February,1901,USA,19 August,1994,USA,Chemistry,1954
Vincent du Vigneaud,18 May,1901,USA,11 December,1978,USA,Chemistry,1955
Sir Cyril Norman Hinshelwood,19 May,1897,United Kingdom,9 October,1967,United Kingdom,Chemistry,1956
Nikolay Nikolaevich Semenov,3 April,1896,Russia,25 September,1986,Russia,Chemistry,1956
Lord (Alexander R.) Todd,2 October,1907,Scotland,10 January,1997,United Kingdom,Chemistry,1957
Frederick Sanger,13 August,1918,United Kingdom,19 November,2013,United Kingdom,Chemistry,1958
Jaroslav Heyrovsky,20 December,1890,Czech Republic,27 March,1967,Czech Republic,Chemistry,1959
Willard Frank Libby,17 December,1908,USA,8 September,1980,USA,Chemistry,1960
Melvin Calvin,8 April,1911,USA,8 January,1997,USA,Chemistry,1961
John Cowdery Kendrew,24 March,1917,United Kingdom,23 August,1997,United Kingdom,Chemistry,1962
Max Ferdinand Perutz,19 May,1914,Austria,6 February,2002,United Kingdom,Chemistry,1962
Giulio Natta,26 February,1903,Italy,2 May,1979,Italy,Chemistry,1963
Karl Ziegler,26 November,1898,Germany,12 August,1973,Germany,Chemistry,1963
Dorothy Crowfoot Hodgkin,12 May,1910,Egypt,29 July,1994,United Kingdom,Chemistry,1964
Robert Burns Woodward,10 April,1917,USA,8 July,1979,USA,Chemistry,1965
Robert S. Mulliken,7 June,1896,USA,31 October,1986,USA,Chemistry,1966
Manfred Eigen,9 May,1927,Germany,6 February,2019,Germany,Chemistry,1967
Ronald George Wreyford Norrish,9 November,1897,United Kingdom,7 June,1978,United Kingdom,Chemistry,1967
George Porter,6 December,1920,United Kingdom,31 August,2002,United Kingdom,Chemistry,1967
Lars Onsager,27 November,1903,Norway,5 October,1976,USA,Chemistry,1968
Derek H. R. Barton,8 September,1918,United Kingdom,16 March,1998,USA,Chemistry,1969
Odd Hassel,17 May,1897,Norway,11 May,1981,Norway,Chemistry,1969
Luis F. Leloir,6 September,1906,France,2 December,1987,Argentina,Chemistry,1970
Gerhard Herzberg,25 December,1904,Germany,3 March,1999,Canada,Chemistry,1971
Christian B. Anfinsen,26 March,1916,USA,14 May,1995,USA,Chemistry,1972
Stanford Moore,4 September,1913,USA,23 August,1982,USA,Chemistry,1972
William H. Stein,25 June,1911,USA,2 February,1980,USA,Chemistry,1972
Ernst Otto Fischer,10 November,1918,Germany,23 July,2007,Germany,Chemistry,1973
Geoffrey Wilkinson,14 July,1921,United Kingdom,26 September,1996,United Kingdom,Chemistry,1973
Paul J. Flory,19 June,1910,USA,8 September,1985,USA,Chemistry,1974
John Warcup Cornforth,7 September,1917,Australia,8 December,2013,/,Chemistry,1975
Vladimir Prelog,23 July,1906,Bosnia and Herzegovina,7 January,1998,Switzerland,Chemistry,1975
William N. Lipscomb,9 December,1919,USA,14 April,2011,USA,Chemistry,1976
Ilya Romanovich Prigogine,25 January,1917,Russia,28 May,2003,Belgium,Chemistry,1977
Peter D. Mitchell,29 September,1920,United Kingdom,10 April,1992,United Kingdom,Chemistry,1978
Herbert C. Brown,22 May,1912,United Kingdom,19 December,2004,USA,Chemistry,1979
Georg Wittig,16 June,1897,Germany,26 August,1987,Germany,Chemistry,1979
Paul Berg,30 June,1926,USA,15 February,2023,USA,Chemistry,1980
Walter Gilbert,21 March,1932,USA,/,/,/,Chemistry,1980
Frederick Sanger,13 August,1918,United Kingdom,19 November,2013,United Kingdom,Chemistry,1980
Kenichi Fukui,4 October,1918,Japan,9 January,1998,Japan,Chemistry,1981
Roald Hoffmann,18 July,1937,Ukraine,/,/,/,Chemistry,1981
Aaron Klug,11 August,1926,Lithuania,20 November,2018,/,Chemistry,1982
Henry Taube,30 November,1915,Canada,16 November,2005,USA,Chemistry,1983
Robert Bruce Merrifield,15 July,1921,USA,14 May,2006,USA,Chemistry,1984
Herbert A. Hauptman,14 February,1917,USA,23 October,2011,USA,Chemistry,1985
Jerome Karle,18 June,1918,USA,6 June,2013,USA,Chemistry,1985
Dudley R. Herschbach,18 June,1932,USA,/,/,/,Chemistry,1986
Yuan T. Lee,19 November,1936,Taiwan,/,/,/,Chemistry,1986
John C. Polanyi,23 January,1929,Germany,/,/,/,Chemistry,1986
Donald J. Cram,22 April,1919,USA,17 June,2001,USA,Chemistry,1987
Jean-Marie Lehn,30 September,1939,France,/,/,/,Chemistry,1987
Charles J. Pedersen,3 October,1904,South Korea,26 October,1989,USA,Chemistry,1987
Johann Deisenhofer,30 September,1943,Germany,/,/,/,Chemistry,1988
Robert Huber,20 February,1937,Germany,/,/,/,Chemistry,1988
Hartmut Michel,18 July,1948,Germany,/,/,/,Chemistry,1988
Sidney Altman,7 May,1939,Canada,5 April,2022,USA,Chemistry,1989
Thomas R. Cech,8 December,1947,USA,/,/,/,Chemistry,1989
Elias James Corey,12 July,1928,USA,/,/,/,Chemistry,1990
Richard R. Ernst,14 August,1933,Switzerland,4 June,2021,Switzerland,Chemistry,1991
Rudolph A. Marcus,21 July,1923,Canada,16 July,2026,/,Chemistry,1992
Kary B. Mullis,28 December,1944,USA,7 August,2019,USA,Chemistry,1993
Michael Smith,26 April,1932,United Kingdom,4 October,2000,Canada,Chemistry,1993
George A. Olah,22 May,1927,Hungary,8 March,2017,USA,Chemistry,1994
Paul J. Crutzen,3 December,1933,the Netherlands,28 January,2021,Germany,Chemistry,1995
Mario J. Molina,19 March,1943,Mexico,7 October,2020,Mexico,Chemistry,1995
F. Sherwood Rowland,28 June,1927,USA,10 March,2012,USA,Chemistry,1995
Robert F. Curl Jr.,23 August,1933,USA,3 July,2022,USA,Chemistry,1996
Sir Harold W. Kroto,7 October,1939,United Kingdom,30 April,2016,United Kingdom,Chemistry,1996
Richard E. Smalley,6 June,1943,USA,28 October,2005,USA,Chemistry,1996
Paul D. Boyer,31 July,1918,USA,2 June,2018,USA,Chemistry,1997
Jens C. Skou,8 October,1918,Denmark,28 May,2018,Denmark,Chemistry,1997
John E. Walker,7 January,1941,United Kingdom,/,/,/,Chemistry,1997
Walter Kohn,9 March,1923,Austria,19 April,2016,USA,Chemistry,1998
John A. Pople,31 October,1925,United Kingdom,15 March,2004,USA,Chemistry,1998
Ahmed H. Zewail,26 February,1946,Egypt,2 August,2016,USA,Chemistry,1999
Alan J. Heeger,22 January,1936,USA,/,/,/,Chemistry,2000
Alan G. MacDiarmid,14 April,1927,New Zealand,7 February,2007,USA,Chemistry,2000
Hideki Shirakawa,20 August,1936,Japan,/,/,/,Chemistry,2000
William S. Knowles,1 June,1917,USA,13 June,2012,USA,Chemistry,2001
Ryoji Noyori,3 September,1938,Japan,/,/,/,Chemistry,2001
K. Barry Sharpless,28 April,1941,USA,/,/,/,Chemistry,2001
John B. Fenn,15 June,1917,USA,10 December,2010,USA,Chemistry,2002
Koichi Tanaka,3 August,1959,Japan,/,/,/,Chemistry,2002
Kurt Wüthrich,4 October,1938,Switzerland,/,/,/,Chemistry,2002
Peter Agre,30 January,1949,USA,/,/,/,Chemistry,2003
Roderick MacKinnon,19 February,1956,USA,/,/,/,Chemistry,2003
Aaron Ciechanover,1 October,1947,Israel,/,/,/,Chemistry,2004
Avram Hershko,31 December,1937,Hungary,/,/,/,Chemistry,2004
Irwin Rose,16 July,1926,USA,3 June,2015,USA,Chemistry,2004
Yves Chauvin,10 October,1930,Belgium,27 January,2015,France,Chemistry,2005
Robert H. Grubbs,27 February,1942,USA,19 December,2021,USA,Chemistry,2005
Richard R. Schrock,4 January,1945,USA,/,/,/,Chemistry,2005
Roger D. Kornberg,24 April,1947,USA,/,/,/,Chemistry,2006
Gerhard Ertl,10 October,1936,Germany,/,/,/,Chemistry,2007
Martin Chalfie,15 January,1947,USA,/,/,/,Chemistry,2008
Osamu Shimomura,27 August,1928,Japan,19 October,2018,Japan,Chemistry,2008
Roger Y. Tsien,1 February,1952,USA,24 August,2016,USA,Chemistry,2008
Venkatraman Ramakrishnan,/,1952,India,/,/,/,Chemistry,2009
Thomas A. Steitz,23 August,1940,USA,23 August,2018,USA,Chemistry,2009
Ada E. Yonath,22 June,1939,Israel,/,/,/,Chemistry,2009
Richard F. Heck,15 August,1931,USA,9 October,2015,Philippines,Chemistry,2010
Ei-ichi Negishi,14 July,1935,China,6 June,2021,USA,Chemistry,2010
Akira Suzuki,12 September,1930,Japan,/,/,/,Chemistry,2010
Dan Shechtman,24 January,1941,Israel,/,/,/,Chemistry,2011
Brian K. Kobilka,30 May,1955,USA,/,/,/,Chemistry,2012
Robert J. Lefkowitz,15 April,1943,USA,/,/,/,Chemistry,2012
Martin Karplus,15 March,1930,Austria,28 December,2024,USA,Chemistry,2013
Michael Levitt,9 May,1947,South Africa,/,/,/,Chemistry,2013
Arieh Warshel,20 November,1940,Israel,/,/,/,Chemistry,2013
Eric Betzig,13 January,1960,USA,/,/,/,Chemistry,2014
Stefan W. Hell,23 December,1962,Romania,/,/,/,Chemistry,2014
William E. Moerner,24 June,1953,USA,/,/,/,Chemistry,2014
Tomas Lindahl,28 January,1938,Sweden,/,/,/,Chemistry,2015
Paul Modrich,13 June,1946,USA,/,/,/,Chemistry,2015
Aziz Sancar,8 September,1946,Turkey,/,/,/,Chemistry,2015
Bernard L. Feringa,18 May,1951,the Netherlands,/,/,/,Chemistry,2016
Jean-Pierre Sauvage,21 October,1944,France,/,/,/,Chemistry,2016
Sir J. Fraser Stoddart,24 May,1942,United Kingdom,30 December,2024,/,Chemistry,2016
Jacques Dubochet,8 June,1942,Switzerland,/,/,/,Chemistry,2017
Joachim Frank,12 September,1940,Germany,/,/,/,Chemistry,2017
Richard Henderson,19 July,1945,Scotland,/,/,/,Chemistry,2017
Frances H. Arnold,25 July,1956,USA,/,/,/,Chemistry,2018
George P. Smith,10 March,1941,USA,/,/,/,Chemistry,2018
Sir Gregory P. Winter,14 April,1951,United Kingdom,/,/,/,Chemistry,2018
John B. Goodenough,25 July,1922,Germany,25 June,2023,USA,Chemistry,2019
M. Stanley Whittingham,22 December,1941,United Kingdom,/,/,/,Chemistry,2019
Akira Yoshino,30 January,1948,Japan,/,/,/,Chemistry,2019
Emmanuelle Charpentier,11 December,1968,France,/,/,/,Chemistry,2020
Jennifer A. Doudna,19 February,1964,USA,/,/,/,Chemistry,2020
Benjamin List,11 January,1968,Germany,/,/,/,Chemistry,2021
David W.C. MacMillan,16 March,1968,United Kingdom,/,/,/,Chemistry,2021
Carolyn R. Bertozzi,10 October,1966,USA,/,/,/,Chemistry,2022
Morten Meldal,16 January,1954,Denmark,/,/,/,Chemistry,2022
K. Barry Sharpless,28 April,1941,USA,/,/,/,Chemistry,2022
Moungi G. Bawendi,/,1961,France,/,/,/,Chemistry,2023
Louis E. Brus,/,1943,USA,11 January,2026,USA,Chemistry,2023
Aleksey Yekimov,/,1945,Russia,/,/,/,Chemistry,2023
David Baker,/,1962,USA,/,/,/,Chemistry,2024
Demis Hassabis,27 July,1976,United Kingdom,/,/,/,Chemistry,2024
John Jumper,/,1985,USA,/,/,/,Chemistry,2024
Susumu Kitagawa,4 July,1951,Japan,/,/,/,Chemistry,2025
Richard Robson,4 June,1937,United Kingdom,/,/,/,Chemistry,2025
Omar M. Yaghi,9 February,1965,Jordan,/,/,/,Chemistry,2025
Ragnar Frisch,3 March,1895,Norway,31 January,1973,Norway,Economic Sciences in Memory of Alfred Nobel,1969
Jan Tinbergen,12 April,1903,the Netherlands,9 June,1994,the Netherlands,Economic Sciences in Memory of Alfred Nobel,1969
Paul A. Samuelson,15 May,1915,USA,13 December,2009,USA,Economic Sciences in Memory of Alfred Nobel,1970
Simon Kuznets,30 April,1901,Belarus,8 July,1985,USA,Economic Sciences in Memory of Alfred Nobel,1971
Kenneth J. Arrow,23 August,1921,USA,21 February,2017,USA,Economic Sciences in Memory of Alfred Nobel,1972
John R. Hicks,8 April,1904,United Kingdom,20 May,1989,United Kingdom,Economic Sciences in Memory of Alfred Nobel,1972
Wassily Wassilyevich Leontief,5 August,1906,Russia,5 February,1999,USA,Economic Sciences in Memory of Alfred Nobel,1973
Friedrich August von Hayek,8 May,1899,Austria,23 March,1992,Germany,Economic Sciences in Memory of Alfred Nobel,1974
Gunnar Myrdal,6 December,1898,Sweden,17 May,1987,Sweden,Economic Sciences in Memory of Alfred Nobel,1974
Leonid Vitaliyevich Kantorovich,19 January,1912,Russia,7 April,1986,Russia,Economic Sciences in Memory of Alfred Nobel,1975
Tjalling C. Koopmans,28 August,1910,the Netherlands,26 February,1985,USA,Economic Sciences in Memory of Alfred Nobel,1975
Milton Friedman,31 July,1912,USA,16 November,2006,USA,Economic Sciences in Memory of Alfred Nobel,1976
James E. Meade,23 June,1907,United Kingdom,22 December,1995,United Kingdom,Economic Sciences in Memory of Alfred Nobel,1977
Bertil Ohlin,23 April,1899,Sweden,3 August,1979,Sweden,Economic Sciences in Memory of Alfred Nobel,1977
Herbert A. Simon,15 June,1916,USA,9 February,2001,USA,Economic Sciences in Memory of Alfred Nobel,1978
Sir Arthur Lewis,23 January,1915,Saint Lucia,15 June,1991,Barbados,Economic Sciences in Memory of Alfred Nobel,1979
Theodore W. Schultz,30 April,1902,USA,26 February,1998,USA,Economic Sciences in Memory of Alfred Nobel,1979
Lawrence R. Klein,14 September,1920,USA,20 October,2013,USA,Economic Sciences in Memory of Alfred Nobel,1980
James Tobin,5 March,1918,USA,11 March,2002,USA,Economic Sciences in Memory of Alfred Nobel,1981
George J. Stigler,17 January,1911,USA,1 December,1991,USA,Economic Sciences in Memory of Alfred Nobel,1982
Gerard Debreu,4 July,1921,France,31 December,2004,France,Economic Sciences in Memory of Alfred Nobel,1983
Richard Stone,30 August,1913,United Kingdom,6 December,1991,United Kingdom,Economic Sciences in Memory of Alfred Nobel,1984
Franco Modigliani,18 June,1918,Italy,25 September,2003,USA,Economic Sciences in Memory of Alfred Nobel,1985
James M. Buchanan Jr.,3 October,1919,USA,9 January,2013,USA,Economic Sciences in Memory of Alfred Nobel,1986
Robert M. Solow,23 August,1924,USA,21 December,2023,USA,Economic Sciences in Memory of Alfred Nobel,1987
Maurice Allais,31 May,1911,France,9 October,2010,France,Economic Sciences in Memory of Alfred Nobel,1988
Trygve Haavelmo,13 December,1911,Norway,26 July,1999,Norway,Economic Sciences in Memory of Alfred Nobel,1989
Harry M. Markowitz,24 August,1927,USA,22 June,2023,USA,Economic Sciences in Memory of Alfred Nobel,1990
Merton H. Miller,16 May,1923,USA,3 June,2000,USA,Economic Sciences in Memory of Alfred Nobel,1990
William F. Sharpe,16 June,1934,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,1990
Ronald H. Coase,29 December,1910,United Kingdom,2 September,2013,USA,Economic Sciences in Memory of Alfred Nobel,1991
Gary S. Becker,2 December,1930,USA,3 May,2014,USA,Economic Sciences in Memory of Alfred Nobel,1992
Robert W. Fogel,1 July,1927,USA,11 June,2013,USA,Economic Sciences in Memory of Alfred Nobel,1993
Douglass C. North,5 November,1920,USA,23 November,2015,USA,Economic Sciences in Memory of Alfred Nobel,1993
John C. Harsanyi,29 May,1920,Hungary,9 August,2000,USA,Economic Sciences in Memory of Alfred Nobel,1994
John F. Nash Jr.,13 June,1928,USA,23 May,2015,USA,Economic Sciences in Memory of Alfred Nobel,1994
Reinhard Selten,5 October,1930,Poland,23 August,2016,Poland,Economic Sciences in Memory of Alfred Nobel,1994
Robert E. Lucas Jr.,15 September,1937,USA,15 May,2023,USA,Economic Sciences in Memory of Alfred Nobel,1995
James A. Mirrlees,5 July,1936,Scotland,29 August,2018,United Kingdom,Economic Sciences in Memory of Alfred Nobel,1996
William Vickrey,21 June,1914,Canada,11 October,1996,USA,Economic Sciences in Memory of Alfred Nobel,1996
Robert C. Merton,31 July,1944,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,1997
Myron S. Scholes,1 July,1941,Canada,/,/,/,Economic Sciences in Memory of Alfred Nobel,1997
Amartya Sen,3 November,1933,India,/,/,/,Economic Sciences in Memory of Alfred Nobel,1998
Robert A. Mundell,24 October,1932,Canada,4 April,2021,Italy,Economic Sciences in Memory of Alfred Nobel,1999
James J. Heckman,19 April,1944,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2000
Daniel L. McFadden,29 July,1937,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2000
George A. Akerlof,17 June,1940,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2001
A. Michael Spence,7 November,1943,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2001
Joseph E. Stiglitz,9 February,1943,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2001
Daniel Kahneman,5 March,1934,Israel,27 March,2024,/,Economic Sciences in Memory of Alfred Nobel,2002
Vernon L. Smith,1 January,1927,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2002
Robert F. Engle III,10 November,1942,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2003
Clive W.J. Granger,4 September,1934,United Kingdom,27 May,2009,USA,Economic Sciences in Memory of Alfred Nobel,2003
Finn E. Kydland,1 December,1943,Norway,/,/,/,Economic Sciences in Memory of Alfred Nobel,2004
Edward C. Prescott,26 December,1940,USA,6 November,2022,USA,Economic Sciences in Memory of Alfred Nobel,2004
Robert J. Aumann,8 June,1930,Germany,/,/,/,Economic Sciences in Memory of Alfred Nobel,2005
Thomas C. Schelling,14 April,1921,USA,13 December,2016,USA,Economic Sciences in Memory of Alfred Nobel,2005
Edmund S. Phelps,26 July,1933,USA,15 May,2026,/,Economic Sciences in Memory of Alfred Nobel,2006
Leonid Hurwicz,21 August,1917,Russia,24 June,2008,USA,Economic Sciences in Memory of Alfred Nobel,2007
Eric S. Maskin,12 December,1950,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2007
Roger B. Myerson,29 March,1951,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2007
Paul Krugman,28 February,1953,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2008
Elinor Ostrom,7 August,1933,USA,12 June,2012,USA,Economic Sciences in Memory of Alfred Nobel,2009
Oliver E. Williamson,27 September,1932,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2009
Peter A. Diamond,29 April,1940,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2010
Dale T. Mortensen,2 February,1939,USA,9 January,2014,USA,Economic Sciences in Memory of Alfred Nobel,2010
Christopher A. Pissarides,20 February,1948,Cyprus,/,/,/,Economic Sciences in Memory of Alfred Nobel,2010
Thomas J. Sargent,19 July,1943,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2011
Christopher A. Sims,21 October,1942,USA,14 March,2026,USA,Economic Sciences in Memory of Alfred Nobel,2011
Alvin E. Roth,18 December,1951,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2012
Lloyd S. Shapley,2 June,1923,USA,12 March,2016,USA,Economic Sciences in Memory of Alfred Nobel,2012
Eugene F. Fama,14 February,1939,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2013
Lars Peter Hansen,26 October,1952,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2013
Robert J. Shiller,29 March,1946,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2013
Jean Tirole,9 August,1953,France,/,/,/,Economic Sciences in Memory of Alfred Nobel,2014
Angus Deaton,19 October,1945,Scotland,/,/,/,Economic Sciences in Memory of Alfred Nobel,2015
Oliver Hart,9 October,1948,United Kingdom,/,/,/,Economic Sciences in Memory of Alfred Nobel,2016
Bengt Holmström,18 April,1949,Finland,/,/,/,Economic Sciences in Memory of Alfred Nobel,2016
Richard H. Thaler,12 September,1945,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2017
William D. Nordhaus,31 May,1941,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2018
Paul M. Romer,/,1955,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2018
Abhijit Banerjee,21 February,1961,India,/,/,/,Economic Sciences in Memory of Alfred Nobel,2019
Esther Duflo,25 October,1972,France,/,/,/,Economic Sciences in Memory of Alfred Nobel,2019
Michael Kremer,12 November,1964,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2019
Paul R. Milgrom,20 April,1948,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2020
Robert B. Wilson,16 May,1937,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2020
Joshua D. Angrist,18 September,1960,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2021
David Card,/,1956,Canada,/,/,/,Economic Sciences in Memory of Alfred Nobel,2021
Guido W. Imbens,3 September,1963,the Netherlands,/,/,/,Economic Sciences in Memory of Alfred Nobel,2021
Ben S. Bernanke,13 December,1953,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2022
Douglas W. Diamond,25 October,1953,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2022
Philip H. Dybvig,22 May,1955,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2022
Claudia Goldin,14 May,1946,USA,/,/,/,Economic Sciences in Memory of Alfred Nobel,2023
Daron Acemoglu,3 September,1967,Turkey,/,/,/,Economic Sciences in Memory of Alfred Nobel,2024
Simon Henry Roberts Johnson,/,1963,United Kingdom,/,/,/,Economic Sciences in Memory of Alfred Nobel,2024
James A. Robinson,/,1960,/,/,/,/,Economic Sciences in Memory of Alfred Nobel,2024
Philippe Aghion,17 August,1956,France,/,/,/,Economic Sciences in Memory of Alfred Nobel,2025
Peter Howitt,31 May,1946,Canada,/,/,/,Economic Sciences in Memory of Alfred Nobel,2025
Joel Mokyr,26 July,1946,the Netherlands,/,/,/,Economic Sciences in Memory of Alfred Nobel,2025
Sully Prudhomme,16 March,1839,France,7 September,1907,France,Literature,1901
Christian Matthias Theodor Mommsen,30 November,1817,Germany,1 November,1903,Germany,Literature,1902
Bjørnstjerne Martinus Bjørnson,8 December,1832,Norway,26 April,1910,France,Literature,1903
José Echegaray y Eizaguirre,19 April,1832,Spain,4 September,1916,Spain,Literature,1904
Frédéric Mistral,8 September,1830,France,25 March,1914,France,Literature,1904
Henryk Sienkiewicz,5 May,1846,Poland,15 November,1916,Switzerland,Literature,1905
Giosuè Carducci,27 July,1835,Italy,16 February,1907,Italy,Literature,1906
Rudyard Kipling,30 December,1865,India,18 January,1936,United Kingdom,Literature,1907
Rudolf Christoph Eucken,5 January,1846,Germany,14 September,1926,Germany,Literature,1908
Selma Ottilia Lovisa Lagerlöf,20 November,1858,Sweden,16 March,1940,Sweden,Literature,1909
Paul Johann Ludwig Heyse,15 March,1830,Germany,2 April,1914,Germany,Literature,1910
Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,29 August,1862,Belgium,6 May,1949,France,Literature,1911
Gerhart Johann Robert Hauptmann,15 November,1862,Poland,6 June,1946,Poland,Literature,1912
Rabindranath Tagore,7 May,1861,India,7 August,1941,India,Literature,1913
